date,PriceUSD,FlowInExNtv,FlowOutExNtv,SplyExNtv,CapMVRVCur,IRX,rf
2016-01-01,0.92037,66713.458518,105730.578447,11273924.1285,2.16605632,0.148000001907,4.0547945728e-06
2016-01-02,0.94999,59551.7251888,76257.8559775,11257217.9977,2.22649136,0.148000001907,4.0547945728e-06
2016-01-03,0.957062928112,50551.9755838,100712.067328,11207057.906,2.23809044,0.148000001907,4.0547945728e-06
2016-01-04,0.95,29597.8472842,51604.9546414,11185050.7986,2.22238525,0.155000001192,4.24657537513e-06
2016-01-05,0.9426,353656.044056,34770.8693256,11503935.9734,2.20757338,0.204999998212,5.61643830717e-06
2016-01-06,0.95,65272.3216441,56204.1573773,11513004.1376,2.22774819,0.204999998212,5.61643830717e-06
2016-01-07,0.939947483343,76272.1233285,128201.839432,11461074.4215,2.20804468,0.189999997616,5.20547938673e-06
2016-01-08,0.985,36806.6075747,101295.12001,11396585.9091,2.29828206,0.189999997616,5.20547938673e-06
2016-01-09,0.969910045587,33402.3704622,33014.3624419,11396973.9171,2.26559203,0.189999997616,5.20547938673e-06
2016-01-10,1,40582.9691477,32510.4476444,11405046.4386,2.3247523,0.189999997616,5.20547938673e-06
2016-01-11,1.0709067329,160882.454547,181104.622707,11384824.2705,2.4620569,0.17499999702,4.7945204663e-06
2016-01-12,1.17745,296588.051098,196507.84238,11484904.4792,2.63709005,0.209999993443,5.7534244779e-06
2016-01-13,1.13743,68340.4987732,123827.97532,11429417.0026,2.56117759,0.215000003576,5.89041105688e-06
2016-01-14,1.16592069608,107894.580659,139201.250943,11398110.3323,2.61281352,0.239999994636,6.57534231878e-06
2016-01-15,1.29089104734,212701.049366,211186.240857,11399625.1409,2.81991099,0.223000004888,6.109589175e-06
2016-01-16,1.21179,146063.864331,147724.01257,11397964.9926,2.66310578,0.223000004888,6.109589175e-06
2016-01-17,1.31093687902,72388.2574265,142011.287234,11328341.9628,2.64132391,0.223000004888,6.109589175e-06
2016-01-18,1.46624418177,644650.472311,317696.534226,11655295.9009,2.7990783,0.223000004888,6.109589175e-06
2016-01-19,1.35304659848,373049.884084,256392.47573,11771953.3093,2.61101411,0.230000004172,6.30136997732e-06
2016-01-20,1.4566215301,169529.572277,188035.339858,11753447.5417,2.7676534,0.252999991179,6.93150660763e-06
2016-01-21,1.49593,108150.094054,214554.013909,11647043.6218,2.8235497,0.273000001907,7.47945210705e-06
2016-01-22,1.52,87122.9953549,137682.370681,11596484.2465,2.83956376,0.287999987602,7.89041061924e-06
2016-01-23,2.01225053594,290208.378935,462142.143161,11424550.4823,3.58174779,0.287999987602,7.89041061924e-06
2016-01-24,2.10138478492,541313.916152,319008.411253,11646855.9872,3.62872686,0.287999987602,7.89041061924e-06
2016-01-25,2.53372158971,620116.576143,475173.084208,11791799.4791,4.16871915,0.27500000596,7.53424673864e-06
2016-01-26,2.38058670368,488543.216863,408190.844131,11872151.8518,3.87587743,0.300000011921,8.21917840879e-06
2016-01-27,2.40130981823,226547.138473,378816.964362,11719882.0259,3.88137912,0.300000011921,8.21917840879e-06
2016-01-28,2.54645331911,230811.553905,194483.129139,11756210.4507,4.03478121,0.317999988794,8.71232846012e-06
2016-01-29,2.4876354512,166075.763276,235293.297124,11686992.9169,3.91742164,0.300000011921,8.21917840879e-06
2016-01-30,2.44067,504574.092137,168242.484087,12023324.5249,3.77984548,0.300000011921,8.21917840879e-06
2016-01-31,2.24267177966,217204.646727,136921.458144,12103607.7135,3.52024342,0.300000011921,8.21917840879e-06
2016-02-01,2.16739736704,127424.910152,156919.388098,12074113.2355,2.97920958,0.294999986887,8.08219142156e-06
2016-02-02,2.44653,95181.7245226,140314.818525,12028980.1415,3.28311151,0.330000013113,9.04109624967e-06
2016-02-03,2.53,100295.331632,145337.015553,11983938.4576,3.34432539,0.333000004292,9.12328778881e-06
2016-02-04,2.55007,65115.7489853,123886.463472,11925167.7431,3.34470424,0.282999992371,7.75342444851e-06
2016-02-05,2.56451,134885.641593,167594.006755,11892459.378,3.1728161,0.277999997139,7.61643827778e-06
2016-02-06,2.54902,50743.4689483,119185.348378,11824017.4985,3.15461147,0.277999997139,7.61643827778e-06
2016-02-07,2.89807110053,513110.728101,179867.478692,12157260.7479,3.33669411,0.277999997139,7.61643827778e-06
2016-02-08,3.18377219345,495378.162162,390622.711793,12262016.1983,3.57093132,0.259999990463,7.12328740995e-06
2016-02-09,3.89347676505,704190.172429,394113.682192,12572092.6886,4.14490261,0.300000011921,8.21917840879e-06
2016-02-10,4.37768284454,547073.550868,470900.853311,12648265.3861,4.08873952,0.298000007868,8.1643837772e-06
2016-02-11,5.87194032262,532470.373714,683157.950587,12497577.8092,5.06499071,0.273000001907,7.47945210705e-06
2016-02-12,5.47040384395,841097.513601,373111.655616,12965563.6672,4.55004515,0.270000010729,7.39726056791e-06
2016-02-13,5.2187906242,447872.395176,421585.698468,12991850.3639,4.34342257,0.270000010729,7.39726056791e-06
2016-02-14,5.15584398305,202770.092502,277416.080777,12917204.3757,3.55259197,0.270000010729,7.39726056791e-06
2016-02-15,5.1526873758,315655.041388,242480.40118,12990379.0159,3.51569827,0.270000010729,7.39726056791e-06
2016-02-16,4.26236679544,287458.462214,628969.752686,12648867.7254,2.94045155,0.273000001907,7.47945210705e-06
2016-02-17,3.81098028872,234936.002749,218043.924765,12665759.8034,2.64807663,0.293000012636,8.02739760647e-06
2016-02-18,4.36682773583,317214.389469,343071.323842,12639902.869,2.97167403,0.287999987602,7.89041061924e-06
2016-02-19,4.58564058328,146723.202527,261305.754694,12525320.3168,3.07514061,0.282999992371,7.75342444851e-06
2016-02-20,4.35048920105,365843.747215,139408.482566,12751755.5815,2.93386062,0.282999992371,7.75342444851e-06
2016-02-21,4.62442860549,196658.325121,97323.6623567,12851090.2443,3.09085,0.282999992371,7.75342444851e-06
2016-02-22,5.59370853594,225139.313532,221239.735087,12854989.8227,3.65668403,0.293000012636,8.02739760647e-06
2016-02-23,5.60993619696,171144.456201,211231.484766,12814902.7941,3.64876153,0.317999988794,8.71232846012e-06
2016-02-24,6.23428100935,200620.936711,182885.562826,12832638.168,3.99644109,0.314999997616,8.63013692098e-06
2016-02-25,6.07227434483,258824.738138,240523.815651,12850939.0905,3.86721974,0.310000002384,8.49315075025e-06
2016-02-26,5.87555043717,1654874.38098,160420.975764,14345392.4957,3.33886106,0.303000003099,8.30136994793e-06
2016-02-27,6.31073388778,264560.807363,172937.558195,14437015.7449,3.4736779,0.303000003099,8.30136994793e-06
2016-02-28,6.49883606838,274935.158122,209640.453213,14502310.4498,3.54504607,0.303000003099,8.30136994793e-06
2016-02-29,6.33325343074,185921.665542,300617.282161,14387614.8332,3.34140044,0.307999998331,8.43835611866e-06
2016-03-01,7.52637569959,269705.163698,323125.619017,14334194.3779,3.54725879,0.319999992847,8.76712309171e-06
2016-03-02,8.51878790766,926421.741605,411887.05118,14848729.0683,3.42307194,0.303000003099,8.30136994793e-06
2016-03-03,9.2849102443,632847.960829,489635.666018,14991941.3631,3.57186608,0.263000011444,7.20547976559e-06
