date,SG_Trend_Index,SG_CTA_Index
1999-12-31,1000.000000,1000.000000
2000-01-03,997.200000,996.740000
2000-01-04,970.674000,986.992000
2000-01-05,962.133000,984.159000
2000-01-06,953.473000,982.398000
2000-01-07,944.034000,977.014000
2000-01-10,951.209000,979.759000
2000-01-11,974.228000,993.505000
2000-01-12,979.586000,996.257000
2000-01-13,977.137000,994.693000
2000-01-14,996.680000,1004.342000
2000-01-17,999.670000,1006.300000
2000-01-18,1020.363000,1016.555000
2000-01-19,1017.914000,1013.434000
2000-01-20,1015.777000,1012.968000
2000-01-21,1014.964000,1011.053000
2000-01-24,1011.006000,1011.852000
2000-01-25,1011.107000,1011.660000
2000-01-26,1001.097000,1006.935000
2000-01-27,1012.009000,1014.618000
2000-01-28,1015.146000,1021.568000
2000-01-31,1019.714000,1023.397000
2000-02-01,1012.474000,1020.153000
2000-02-02,999.514000,1014.940000
2000-02-03,973.927000,1001.278000
2000-02-04,991.068000,1009.229000
2000-02-07,1004.249000,1018.069000
2000-02-08,989.185000,1010.882000
2000-02-09,992.549000,1012.934000
2000-02-10,1009.124000,1019.913000
2000-02-11,1002.363000,1018.210000
2000-02-14,1006.573000,1021.488000
2000-02-15,1002.043000,1018.608000
2000-02-16,1004.549000,1018.822000
2000-02-17,1007.864000,1022.520000
2000-02-18,1010.988000,1025.445000
2000-02-21,1006.742000,1023.753000
2000-02-22,979.056000,1011.683000
2000-02-23,987.868000,1015.446000
2000-02-24,988.559000,1014.471000
2000-02-25,989.350000,1014.065000
2000-02-28,983.117000,1008.873000
2000-02-29,995.210000,1015.451000
2000-03-01,987.447000,1006.525000
2000-03-02,993.866000,1011.971000
2000-03-03,997.344000,1012.942000
2000-03-06,1002.530000,1015.302000
2000-03-07,1008.144000,1018.460000
2000-03-08,986.973000,1007.247000
2000-03-09,978.979000,1000.992000
2000-03-10,979.762000,1000.401000
2000-03-13,968.789000,994.639000
2000-03-14,963.073000,992.092000
2000-03-15,961.532000,993.402000
2000-03-16,963.070000,994.654000
2000-03-17,973.857000,1000.731000
2000-03-20,962.171000,995.207000
2000-03-21,974.583000,1001.736000
2000-03-22,977.019000,1002.677000
2000-03-23,969.984000,997.724000
2000-03-24,957.084000,989.912000
2000-03-27,955.839000,988.932000
2000-03-28,957.178000,989.387000
2000-03-29,956.890000,991.207000
2000-03-30,949.044000,985.022000
2000-03-31,965.083000,996.409000
2000-04-03,954.177000,989.514000
2000-04-04,944.826000,984.141000
2000-04-05,940.669000,981.641000
2000-04-06,938.600000,980.090000
2000-04-07,950.426000,985.647000
2000-04-10,944.343000,982.611000
2000-04-11,933.106000,975.861000
2000-04-12,926.667000,973.363000
2000-04-13,928.243000,974.501000
2000-04-14,933.069000,981.508000
2000-04-17,932.976000,983.442000
2000-04-18,928.405000,977.984000
2000-04-19,931.097000,979.186000
2000-04-20,926.162000,976.131000
2000-04-21,928.014000,977.215000
2000-04-24,927.922000,977.078000
2000-04-25,933.304000,980.879000
2000-04-26,933.864000,981.281000
2000-04-27,933.303000,981.664000
2000-04-28,932.277000,981.978000
2000-05-01,924.073000,976.685000
2000-05-02,914.185000,970.708000
2000-05-03,914.642000,972.047000
2000-05-04,912.813000,971.241000
2000-05-05,904.324000,967.297000
2000-05-08,909.388000,970.489000
2000-05-09,907.296000,970.567000
2000-05-10,913.194000,975.701000
2000-05-11,931.732000,984.229000
2000-05-12,913.842000,974.278000
2000-05-15,921.793000,980.085000
2000-05-16,923.544000,981.095000
2000-05-17,938.783000,989.571000
2000-05-18,955.211000,998.181000
2000-05-19,942.794000,990.015000
2000-05-22,933.460000,985.986000
2000-05-23,934.393000,987.317000
2000-05-24,950.278000,997.516000
2000-05-25,945.242000,995.062000
2000-05-26,930.685000,987.042000
2000-05-29,930.778000,986.854000
2000-05-30,927.986000,984.595000
2000-05-31,921.582000,983.256000
2000-06-01,919.555000,983.491000
2000-06-02,899.601000,972.771000
2000-06-05,880.439000,961.983000
2000-06-06,871.195000,955.259000
2000-06-07,873.808000,958.755000
2000-06-08,878.527000,960.999000
2000-06-09,890.387000,967.639000
