stress,strategy,total_return,max_drawdown
GFC,SPY_buy_hold,-0.5476738607180401,-0.5518940436853617
GFC,season_only_SPY_s7_l8,-0.054476079478593564,-0.11878081247542194
GFC,season_only_QQQ_s7_l8,0.0019245354259567193,-0.12894976337363961
GFC,season_tilt_QQQ_s7_l8,-0.5264625788234968,-0.5339726784835745
GFC,season_trend_gate_s7_l8_lb126,-0.49717582852287123,-0.5018671559075629
GFC,qqq_relative_momentum_all_year_lb63,-0.4850712752268115,-0.5109027592879932
GFC,season_tilt_XLF_s13_l8,-0.44338648056926,-0.46069438901138526
GFC,qqq_relative_momentum_s7_l5_lb63,-0.5328154792831354,-0.5356696575748503
GFC,season_tilt_QQQ_s1_l8,-0.5210708293097599,-0.5242928455467124
GFC,qqq_relative_momentum_s4_l8_lb63,-0.5305910650968001,-0.5339233641314516
GFC,season_tilt_QQQ_s4_l8,-0.5160684541966767,-0.5195038481634542
GFC,season_tilt_XLY_s10_l8,-0.5095182797613167,-0.5140944526192898
GFC,qqq_relative_momentum_s10_l8_lb63,-0.5236919089796794,-0.5461202925199036
GFC,qqq_relative_momentum_s4_l8_lb126,-0.5538191557810057,-0.5569865603315339
GFC,qqq_relative_momentum_s7_l8_lb63,-0.5366099818718033,-0.5439591480876046
2011,SPY_buy_hold,-0.17838698850908896,-0.17893666659974494
2011,season_only_SPY_s7_l8,0.002956428654206089,-0.002360754996131087
2011,season_only_QQQ_s7_l8,0.002956428654206089,-0.002360754996131087
2011,season_tilt_QQQ_s7_l8,-0.17920805184248922,-0.17920805184248922
2011,season_trend_gate_s7_l8_lb126,-0.17838698850908896,-0.17893666659974494
2011,qqq_relative_momentum_all_year_lb63,-0.13146537997750884,-0.16099276062271717
2011,season_tilt_XLF_s13_l8,-0.17758305271153207,-0.17758305271153207
2011,qqq_relative_momentum_s7_l5_lb63,-0.17838698850908896,-0.17893666659974494
2011,season_tilt_QQQ_s1_l8,-0.17691611738045032,-0.17746677951788048
2011,qqq_relative_momentum_s4_l8_lb63,-0.17838698850908896,-0.17893666659974494
2011,season_tilt_QQQ_s4_l8,-0.17838698850908896,-0.17893666659974494
2011,season_tilt_XLY_s10_l8,-0.17572615006579873,-0.17893570548200577
2011,qqq_relative_momentum_s10_l8_lb63,-0.16310246937081707,-0.1720849038007738
2011,qqq_relative_momentum_s4_l8_lb126,-0.17838698850908896,-0.17893666659974494
2011,qqq_relative_momentum_s7_l8_lb63,-0.17920805184248922,-0.17920805184248922
2018_Q4,SPY_buy_hold,-0.189224897430756,-0.19203199715831765
2018_Q4,season_only_SPY_s7_l8,-0.032528628129691706,-0.0563463075260604
2018_Q4,season_only_QQQ_s7_l8,-0.02557905343825606,-0.05583665492562517
2018_Q4,season_tilt_QQQ_s7_l8,-0.18503492562239165,-0.18785653204692077
2018_Q4,season_trend_gate_s7_l8_lb126,-0.21459476224572305,-0.21731402535819289
2018_Q4,qqq_relative_momentum_all_year_lb63,-0.22154983182731458,-0.2231385592520071
2018_Q4,season_tilt_XLF_s13_l8,-0.19251492123898573,-0.1953106301074713
2018_Q4,qqq_relative_momentum_s7_l5_lb63,-0.189224897430756,-0.19203199715831765
2018_Q4,season_tilt_QQQ_s1_l8,-0.2187176022843269,-0.21953323604347652
2018_Q4,qqq_relative_momentum_s4_l8_lb63,-0.20014903040857446,-0.20291830814257872
2018_Q4,season_tilt_QQQ_s4_l8,-0.20333388260637808,-0.20609213361088796
2018_Q4,season_tilt_XLY_s10_l8,-0.1929985092792489,-0.19579254384884226
2018_Q4,qqq_relative_momentum_s10_l8_lb63,-0.189224897430756,-0.19203199715831765
2018_Q4,qqq_relative_momentum_s4_l8_lb126,-0.20333388260637808,-0.20609213361088796
2018_Q4,qqq_relative_momentum_s7_l8_lb63,-0.189224897430756,-0.19203199715831765
COVID,SPY_buy_hold,-0.3340034681964831,-0.3371725284698909
COVID,season_only_SPY_s7_l8,0.021033986793829174,-0.006461393112441094
COVID,season_only_QQQ_s7_l8,0.021033986793829174,-0.006461393112441094
COVID,season_tilt_QQQ_s7_l8,-0.3340034681964831,-0.3371725284698909
COVID,season_trend_gate_s7_l8_lb126,-0.3340034681964831,-0.3371725284698909
COVID,qqq_relative_momentum_all_year_lb63,-0.2722561485768602,-0.28559367125225554
COVID,season_tilt_XLF_s13_l8,-0.3340034681964831,-0.3371725284698909
COVID,qqq_relative_momentum_s7_l5_lb63,-0.3340034681964831,-0.3371725284698909
COVID,season_tilt_QQQ_s1_l8,-0.3340034681964831,-0.3371725284698909
COVID,qqq_relative_momentum_s4_l8_lb63,-0.3340034681964831,-0.3371725284698909
COVID,season_tilt_QQQ_s4_l8,-0.3340034681964831,-0.3371725284698909
COVID,season_tilt_XLY_s10_l8,-0.3340034681964831,-0.3371725284698909
COVID,qqq_relative_momentum_s10_l8_lb63,-0.3340034681964831,-0.3371725284698909
COVID,qqq_relative_momentum_s4_l8_lb126,-0.3340034681964831,-0.3371725284698909
COVID,qqq_relative_momentum_s7_l8_lb63,-0.3340034681964831,-0.3371725284698909
