strategy,prior_peak,trough,recovered,completed,depth,peak_to_trough_days,trough_to_recovery_days,underwater_days,within_20d
credit_canary_equity_allocation,2008-01-28,2008-02-07,2008-02-11,True,-0.008066548967564757,8,2,9,True
credit_canary_equity_allocation,2008-02-11,2008-02-15,2008-02-21,True,-0.011077567089951224,4,3,6,True
credit_canary_equity_allocation,2008-02-21,2008-02-25,2008-02-27,True,-0.006742441107510433,2,2,3,True
credit_canary_equity_allocation,2008-03-03,2008-03-04,2008-03-10,True,-0.007238806897469141,1,4,4,True
credit_canary_equity_allocation,2008-03-10,2008-03-11,2008-03-12,True,-0.0063609834592717185,1,1,1,True
credit_canary_equity_allocation,2008-03-17,2008-10-31,2008-12-11,True,-0.08060238853357582,160,28,187,False
credit_canary_equity_allocation,2008-12-17,2008-12-23,2008-12-26,True,-0.008689386881885364,4,2,5,True
credit_canary_equity_allocation,2008-12-29,2009-02-09,2009-02-17,True,-0.02508541422119026,28,5,32,True
credit_canary_equity_allocation,2009-02-17,2009-02-19,2009-02-20,True,-0.006062795563870904,2,1,2,True
credit_canary_equity_allocation,2009-02-23,2009-03-10,2009-03-18,True,-0.0317446593150813,11,6,16,True
credit_canary_equity_allocation,2009-03-19,2009-07-07,2009-07-23,True,-0.08982278774502506,75,12,86,True
credit_canary_equity_allocation,2009-07-27,2009-07-29,2009-07-30,True,-0.005401349999469618,2,1,2,True
credit_canary_equity_allocation,2009-08-04,2009-08-06,2009-08-07,True,-0.010149808823264439,2,1,2,True
credit_canary_equity_allocation,2009-08-07,2009-08-11,2009-08-13,True,-0.014770138349200934,2,2,3,True
credit_canary_equity_allocation,2009-08-13,2009-08-17,2009-08-21,True,-0.034122200522715196,2,4,5,True
credit_canary_equity_allocation,2009-08-21,2009-08-24,2009-08-25,True,-0.0003209447312700897,1,1,1,True
credit_canary_equity_allocation,2009-08-25,2009-08-26,2009-08-27,True,-0.00036124886792943123,1,1,1,True
credit_canary_equity_allocation,2009-08-28,2009-09-02,2009-09-09,True,-0.03318242487246581,3,4,6,True
