strategy,family,independence_group,evidence,description,implementation_note,start,end,years,cagr,stress_cagr,annual_vol,excess_shy_sharpe,max_drawdown,ulcer_index,calmar,cvar_5pct_daily,worst_calendar_year,best_calendar_year,largest_year_abs_excess_share,annual_turnover,cagr_2007_2012,cagr_2013_2021,rolling_3y_min,rolling_3y_target_share,rolling_5y_min,rolling_5y_target_share,latest_weights,GFC_return,GFC_maxdd,2011_euro_US_downgrade_return,2011_euro_US_downgrade_maxdd,2018_Q4_return,2018_Q4_maxdd,COVID_crash_return,COVID_crash_maxdd,deflated_sharpe_probability,target_gate,selection_score,max_underwater_days,max_trough_to_recovery_days,max_5pct_trough_to_recovery_days,median_5pct_trough_to_recovery_days,share_5pct_recovered_within_20d,n_5pct_drawdowns,n_unrecovered_5pct_drawdowns,suite,max_recovery_days,duration_hard_pass,objective_gate,joint_gate
recovery_sector_barbell_M_cyc35_mom63_ma100_top3,Recovery-oriented sector barbell,recovery_sector_barbell,long_rule,"M defensive/cyclical barbell; 35% cyclical budget, 63d momentum, 100d trend, top 3.",ETF-only,2007-01-03,2021-12-31,14.988095238095237,0.11071669323318822,0.10887395074968786,0.12946280768298063,0.7124692690707246,-0.27914720665813986,0.05867289369415556,0.39662475780665224,-0.019742370559373067,-0.15771993144622143,0.29559600539033193,0.13628130072347128,3.3202427267653194,0.07583569951224822,0.13457544624626117,0.003332216063445248,0.5198544010589013,0.03249724971822454,0.6195393169181891,"{""XLE"": 0.11274472055243123, ""XLK"": 0.11338509515095987, ""XLP"": 0.2414452136768989, ""XLU"": 0.18193692368634157, ""XLV"": 0.24001652852130595, ""XLY"": 0.11047151841206249}",-0.2566538674011123,-0.2791472066581394,-0.05262267077912275,-0.0821070883318431,-0.08284554452295878,-0.08539462764827666,-0.21553045995877596,-0.21607139875167392,,,,506,195,195,44.0,0.3333333333333333,18,0,recovery_sweep,506.0,False,False,False
recovery_sector_barbell_W_cyc35_mom63_ma100_top3,Recovery-oriented sector barbell,recovery_sector_barbell,long_rule,"W defensive/cyclical barbell; 35% cyclical budget, 63d momentum, 100d trend, top 3.",ETF-only,2007-01-03,2021-12-31,14.988095238095237,0.09737884062326518,0.09322810859498487,0.12879310304468344,0.6249783296670781,-0.2952559697765331,0.06270405742724408,0.32981158923549336,-0.019743773203069078,-0.17406734234771215,0.29187193436513326,0.14694065740154244,7.577606588359239,0.05707128423026231,0.12507608792412617,-0.008248619545463631,0.442422236929186,0.02351746772588581,0.5416997617156474,"{""XLB"": 0.11716649567391489, ""XLK"": 0.11408804446790696, ""XLP"": 0.23627500772809631, ""XLU"": 0.18868297846481255, ""XLV"": 0.22828769285838954, ""XLY"": 0.11549978080687973}",-0.2827533654470358,-0.29525596977653334,-0.05963389035533362,-0.09058357022245245,-0.0807734458205559,-0.08476674697396103,-0.2206961746284174,-0.22142183167784724,,,,515,204,204,39.0,0.23529411764705882,17,0,recovery_sweep,515.0,False,False,False
recovery_sector_barbell_M_cyc35_mom63_ma50_top2,Recovery-oriented sector barbell,recovery_sector_barbell,long_rule,"M defensive/cyclical barbell; 35% cyclical budget, 63d momentum, 50d trend, top 2.",ETF-only,2007-01-03,2021-12-31,14.988095238095237,0.09926240705287803,0.09672296444806805,0.12942788701837038,0.63520595976191,-0.28135518430160855,0.05986531532920189,0.3528010592705845,-0.019855107644447888,-0.1611376560871277,0.29000555479073875,0.13954121564295693,4.624658733973823,0.07248770594548626,0.1174663304499044,-0.008242935566048382,0.4669093315684977,0.030101277393162817,0.6115965051628276,"{""XLK"": 0.1702166099108103, ""XLP"": 0.24164249393658818, ""XLU"": 0.18208558086204332, ""XLV"": 0.24021264142971827, ""XLY"": 0.16584267386083987}",-0.2668875975286401,-0.28135518430161055,-0.05480191332389672,-0.08421850816737897,-0.08405045448009807,-0.08778476608131647,-0.21452866635412493,-0.2151553621284158,,,,506,217,217,41.5,0.2777777777777778,18,0,recovery_sweep,506.0,False,False,False
recovery_sector_barbell_M_cyc50_mom63_ma200_top3,Recovery-oriented sector barbell,recovery_sector_barbell,long_rule,"M defensive/cyclical barbell; 50% cyclical budget, 63d momentum, 200d trend, top 3.",ETF-only,2007-01-03,2021-12-31,14.988095238095237,0.10982704180224379,0.10741596966188971,0.1295425709672754,0.7055077946469149,-0.24102477114978516,0.05949962641235934,0.4556670307301801,-0.01995141217116725,-0.14067164246137398,0.3076356527476449,0.14663188702973973,4.348658544573711,0.06823482850513685,0.13842543943513075,-0.002764457920625518,0.5175380542686963,0.03301450671684836,0.6104050833995235,"{""XLE"": 0.1624994530160337, ""XLK"": 0.16342242769259843, ""XLP"": 0.1873824776929284, ""XLU"": 0.14119887085356528, ""XLV"": 0.18627369379855657, ""XLY"": 0.15922307694631768}",-0.2176903758410248,-0.24102477114978682,-0.04260987753331613,-0.06513924063348331,-0.080444609441779,-0.0819530115057403,-0.2225255620619775,-0.2243698316142071,,,,518,218,218,23.0,0.45454545454545453,22,0,recovery_sweep,518.0,False,True,False
recovery_sector_barbell_M_cyc35_mom126_ma100_top3,Recovery-oriented sector barbell,recovery_sector_barbell,long_rule,"M defensive/cyclical barbell; 35% cyclical budget, 126d momentum, 100d trend, top 3.",ETF-only,2007-01-03,2021-12-31,14.988095238095237,0.10191464676908235,0.10037337027103765,0.13056598323713814,0.6490247476939005,-0.28701995113846646,0.06382886294688124,0.3550786151444778,-0.020103151752537594,-0.16691883560784893,0.3139007545290824,0.15183899798920295,2.79886631207127,0.0560410765516457,0.13357047075134076,-0.0034058501158296117,0.4672402382528127,0.02938995764605168,0.5945194598888006,"{""XLE"": 0.11274472055243123, ""XLK"": 0.11338509515095986, ""XLP"": 0.2414452136768989, ""XLU"": 0.1819369236863416, ""XLV"": 0.24001652852130592, ""XLY"": 0.11047151841206247}",-0.26477227134771963,-0.28701995113846523,-0.09428200596582259,-0.1441123263948334,-0.08420745945350139,-0.08715341897580442,-0.2166111350753006,-0.21670474514949,,,,529,218,218,37.5,0.3333333333333333,18,0,recovery_sweep,529.0,False,False,False
recovery_sector_barbell_M_cyc35_mom63_ma50_top3,Recovery-oriented sector barbell,recovery_sector_barbell,long_rule,"M defensive/cyclical barbell; 35% cyclical budget, 63d momentum, 50d trend, top 3.",ETF-only,2007-01-03,2021-12-31,14.988095238095237,0.0950503975480872,0.09275190650616238,0.12585341474884287,0.6198586951101667,-0.27753006117858114,0.05921556598844696,0.34248685401660145,-0.0192872645812259,-0.15667265240429873,0.2842759047373129,0.14306289024353017,4.201513847477588,0.06652902094769941,0.11446983834087487,-0.012964110852987654,0.4632693580410324,0.028835691870165103,0.5369340746624305,"{""SHY"": 0.10858009834298711, ""XLK"": 0.11391730509822515, ""XLP"": 0.24257851558282711, ""XLU"": 0.18279090401269574, ""XLV"": 0.24114312442720565, ""XLY"": 0.11099005253605927}",-0.263952870637581,-0.2775300611785825,-0.05262267077912297,-0.08210708833184333,-0.082845544522959,-0.08539462764827666,-0.20536424346310145,-0.20536424346310145,,,,529,218,218,41.0,0.3333333333333333,18,0,recovery_sweep,529.0,False,False,False
recovery_sector_barbell_M_cyc65_mom63_ma100_top2,Recovery-oriented sector barbell,recovery_sector_barbell,long_rule,"M defensive/cyclical barbell; 65% cyclical budget, 63d momentum, 100d trend, top 2.",ETF-only,2007-01-03,2021-12-31,14.988095238095237,0.12046940022996422,0.11664705375018336,0.13578616479965588,0.7493047244085906,-0.19569295247041552,0.05788144366479069,0.6156041835393973,-0.02108883322938932,-0.11625643237012351,0.33273766569125995,0.1380679693670306,6.832169038264204,0.09240059722192617,0.13956447337566336,0.027877538871676544,0.5185307743216413,0.038697830065360206,0.6243050039714059,"{""XLE"": 0.32080135582778446, ""XLP"": 0.1327934632633638, ""XLU"": 0.10006424987211589, ""XLV"": 0.13200769473710083, ""XLY"": 0.3143332362996351}",-0.1674453688235743,-0.19569295247041785,-0.036639573373225987,-0.05228531300850603,-0.08084990701722372,-0.09279067823720044,-0.1510682790668586,-0.15545606237320864,,,,442,219,219,25.0,0.4,25,0,recovery_sweep,442.0,False,True,False
recovery_sector_barbell_M_cyc65_mom63_ma200_top2,Recovery-oriented sector barbell,recovery_sector_barbell,long_rule,"M defensive/cyclical barbell; 65% cyclical budget, 63d momentum, 200d trend, top 2.",ETF-only,2007-01-03,2021-12-31,14.988095238095237,0.11493346483887534,0.1112249252310773,0.14230208706937095,0.6876683831884959,-0.23103428398363157,0.06473033328074354,0.49747363403008277,-0.022148557093636338,-0.12775933371610593,0.3327376656912593,0.15027969548905493,6.6613316476592646,0.0735270359683613,0.1433958039297054,-0.0120847504872853,0.5033090668431502,0.0274062463257827,0.613979348689436,"{""XLE"": 0.32080135582778446, ""XLP"": 0.1327934632633638, ""XLU"": 0.10006424987211589, ""XLV"": 0.13200769473710083, ""XLY"": 0.31433323629963505}",-0.17828198946597063,-0.20611989543472697,-0.03663957337322565,-0.05228531300850592,-0.08084990701722372,-0.09279067823720011,-0.22703916332552432,-0.23103428398363168,,,,351,225,225,24.5,0.4230769230769231,26,0,recovery_sweep,351.0,False,True,False
sector_defensive_upside_barbell,Sector allocation,sector_barbell,long_rule,50% defensive inverse-downside sleeve plus trend-eligible top cyclical sectors; residual SHY.,ETF-only,2007-01-03,2021-12-31,14.988095238095235,0.1103120343971992,0.1085418319887165,0.1365883780964319,0.6803401479799771,-0.2535281625053878,0.0639617042111048,0.4351076160813298,-0.021077428421878,-0.1548282556798933,0.3379470317989066,0.1590229149498326,3.1903747612285205,0.0633082257706629,0.1427675871690112,-0.0020631605247958,0.5777630708140304,0.0340343722406339,0.6572676727561557,"{""XLE"": 0.16249945301603372, ""XLK"": 0.16342242769259846, ""XLP"": 0.1873824776929284, ""XLU"": 0.14119887085356528, ""XLV"": 0.18627369379855654, ""XLY"": 0.1592230769463177}",-0.2305781790529023,-0.2535281625053862,-0.1019035321097079,-0.1602160249855745,-0.0814896430900983,-0.0845073950665602,-0.2240622018883696,-0.2252750207127392,0.8689395720304536,False,0.1976872070540629,510,226,226,23.0,0.4090909090909091,22,0,original_104,,,False,
recovery_sector_barbell_M_cyc50_mom126_ma200_top3,Recovery-oriented sector barbell,recovery_sector_barbell,long_rule,"M defensive/cyclical barbell; 50% cyclical budget, 126d momentum, 200d trend, top 3.",ETF-only,2007-01-03,2021-12-31,14.988095238095237,0.10334827656171575,0.10152798935043506,0.13411946490772803,0.644743520422914,-0.2526017907309219,0.06471082237677304,0.40913516987615123,-0.020837075487508492,-0.15377939729142076,0.3379470317989075,0.1655130016019401,3.30141948832222,0.05696959002270208,0.13536387295607977,-0.00165051786849435,0.4728656518861681,0.026651579535402536,0.6195393169181891,"{""XLE"": 0.16249945301603366, ""XLK"": 0.1634224276925984, ""XLP"": 0.18738247769292837, ""XLU"": 0.14119887085356525, ""XLV"": 0.18627369379855654, ""XLY"": 0.15922307694631768}",-0.22962332634208094,-0.25260179073092026,-0.10190353210970793,-0.16021602498557452,-0.08148964309009854,-0.08450739506656058,-0.2240622018883699,-0.22527502071273942,,,,510,227,227,23.0,0.38095238095238093,21,0,recovery_sweep,510.0,False,False,False
recovery_sector_barbell_M_cyc65_mom63_ma200_top3,Recovery-oriented sector barbell,recovery_sector_barbell,long_rule,"M defensive/cyclical barbell; 65% cyclical budget, 63d momentum, 200d trend, top 3.",ETF-only,2007-01-03,2021-12-31,14.988095238095237,0.11056201232490515,0.10751680529717955,0.13100022080632176,0.7045696486326968,-0.20544374688248912,0.05886827173301998,0.5381619737890831,-0.0205477978811668,-0.11784150076555122,0.3195539820372171,0.1521389558671484,5.48999732693182,0.07131607779802018,0.13749741476331567,0.002496606918529709,0.4827928524156188,0.0333844523658231,0.5142970611596506,"{""XLE"": 0.21314909219506384, ""XLK"": 0.21435974989745865, ""XLP"": 0.13234734967525855, ""XLU"": 0.09972808858484697, ""XLV"": 0.13156422090255013, ""XLY"": 0.20885149874482192}",-0.1747682840287338,-0.1974182863111752,-0.032539995840630054,-0.0480896353897039,-0.07856049592260295,-0.08925800226646285,-0.20221841971094345,-0.20544374688248912,,,,453,228,228,22.0,0.48148148148148145,27,0,recovery_sweep,453.0,False,True,False
recovery_sector_barbell_M_cyc50_mom126_ma100_top3,Recovery-oriented sector barbell,recovery_sector_barbell,long_rule,"M defensive/cyclical barbell; 50% cyclical budget, 126d momentum, 100d trend, top 3.",ETF-only,2007-01-03,2021-12-31,14.988095238095237,0.10036634978353653,0.09828882450145437,0.1280158497404121,0.6485298658541314,-0.24185756381396362,0.06082045801723853,0.4149812319317751,-0.020036797621801303,-0.14533910501776526,0.3340459239827791,0.1618709752620334,3.7786413990038032,0.056055298452244884,0.13090787760386613,0.010381660412045024,0.40304434149569823,0.028781212312531057,0.5210484511517077,"{""XLE"": 0.16249945301603366, ""XLK"": 0.16342242769259843, ""XLP"": 0.18738247769292835, ""XLU"": 0.14119887085356525, ""XLV"": 0.18627369379855652, ""XLY"": 0.15922307694631768}",-0.22531162189502896,-0.2418575638139645,-0.1023956807373928,-0.15511016532867494,-0.08243022483716522,-0.08450739506656069,-0.1850436583589289,-0.18631746457714238,,,,493,228,228,27.0,0.4,20,0,recovery_sweep,493.0,False,True,False
QQQ_vol_target_12,Equity P&L control,pnl_vol,long_rule,Weekly unlevered QQQ 63d volatility target 12%; residual SHY.,ETF-only,2007-01-03,2021-12-31,14.988095238095235,0.1136297147147527,0.1121266309783304,0.1290330020441577,0.7347162942356299,-0.2171869836213343,0.0636400606008503,0.5231884195825758,-0.0201278522828432,-0.1554118894246412,0.3272592183797662,0.1544131838868382,2.70112321239532,0.0705457213801616,0.1432848783280462,0.0176607845421157,0.6965585704831238,0.0436472838060602,0.7525814138204925,"{""QQQ"": 0.6221740163187963, ""SHY"": 0.3778259836812038}",-0.1996699791880894,-0.2171869836213341,-0.0796846325178246,-0.1072950903696694,-0.1415102686849343,-0.142967836091012,-0.1831456468092427,-0.1940856862688902,0.9073852548840148,True,0.3317071775406482,515,230,230,55.0,0.25,20,0,original_104,,,True,
recovery_sector_barbell_W_cyc50_mom63_ma200_top3,Recovery-oriented sector barbell,recovery_sector_barbell,long_rule,"W defensive/cyclical barbell; 50% cyclical budget, 63d momentum, 200d trend, top 3.",ETF-only,2007-01-03,2021-12-31,14.988095238095237,0.09102654708861602,0.0856596976796935,0.1261698751617355,0.5905803249953282,-0.2412026179868363,0.06223005874598685,0.3773862317430726,-0.019699188015050387,-0.13819248051307864,0.3027846066283142,0.16203667234601843,9.860144721182696,0.04827229452582804,0.12046745695274086,-0.007184669237334629,0.3702845797485109,0.02244463783671291,0.4511517077045274,"{""XLB"": 0.16773967237418383, ""XLK"": 0.16333245345254938, ""XLP"": 0.18213978657525776, ""XLU"": 0.14545202117827824, ""XLV"": 0.17598252161665517, ""XLY"": 0.1653535448030756}",-0.231523921700455,-0.2412026179868355,-0.05335212185494442,-0.07746112634125057,-0.07740503195898629,-0.08087333567393884,-0.2234837101054813,-0.22545912984819727,,,,554,231,231,27.0,0.4,20,0,recovery_sweep,554.0,False,True,False
recovery_sector_barbell_W_cyc50_mom63_ma100_top2,Recovery-oriented sector barbell,recovery_sector_barbell,long_rule,"W defensive/cyclical barbell; 50% cyclical budget, 63d momentum, 100d trend, top 2.",ETF-only,2007-01-03,2021-12-31,14.988095238095237,0.09966417724485654,0.09291936519810551,0.1302046503248348,0.6351889152635105,-0.26858827531785257,0.06262765959575674,0.3710667456608522,-0.020270606064617128,-0.17162255301105434,0.3152465438665806,0.15138306462039133,12.30157298441007,0.06567770310993826,0.12290114415604592,0.0036264871242701613,0.41032428855062875,0.028775613487584506,0.5246227164416203,"{""XLK"": 0.24583369692020954, ""XLP"": 0.18276056449517025, ""XLU"": 0.14594775802332396, ""XLV"": 0.1765823140385322, ""XLY"": 0.24887566652276416}",-0.24767747548373076,-0.2685882753178539,-0.05426052528429559,-0.07834639476670135,-0.07215273628808572,-0.07807089410543622,-0.18740161155539825,-0.18957025094539703,,,,437,231,231,36.0,0.2,20,0,recovery_sweep,437.0,False,False,False
