strategy,family,independence_group,evidence,description,implementation_note,start,end,years,cagr,stress_cagr,annual_vol,excess_shy_sharpe,max_drawdown,ulcer_index,calmar,cvar_5pct_daily,worst_calendar_year,best_calendar_year,max_recovery_days,max_underwater_days,max_trough_to_recovery_days,max_5pct_trough_to_recovery_days,median_5pct_trough_to_recovery_days,share_5pct_recovered_within_20d,n_5pct_drawdowns,n_unrecovered_5pct_drawdowns,largest_year_abs_excess_share,annual_turnover,cagr_2007_2012,cagr_2013_2021,rolling_3y_min,rolling_3y_target_share,rolling_5y_min,rolling_5y_target_share,latest_weights,GFC_return,GFC_maxdd,2011_euro_US_downgrade_return,2011_euro_US_downgrade_maxdd,2018_Q4_return,2018_Q4_maxdd,COVID_crash_return,COVID_crash_maxdd,duration_hard_pass,objective_gate,joint_gate
recovery_sector_barbell_M_cyc50_mom63_ma200_top3,Recovery-oriented sector barbell,recovery_sector_barbell,long_rule,"M defensive/cyclical barbell; 50% cyclical budget, 63d momentum, 200d trend, top 3.",ETF-only,2007-01-03,2021-12-31,14.988095238095237,0.10982704180224379,0.10741596966188971,0.1295425709672754,0.7055077946469149,-0.24102477114978516,0.05949962641235934,0.4556670307301801,-0.01995141217116725,-0.14067164246137398,0.3076356527476449,518,518,218,218,23.0,0.45454545454545453,22,0,0.14663188702973973,4.348658544573711,0.06823482850513685,0.13842543943513075,-0.002764457920625518,0.5175380542686963,0.03301450671684836,0.6104050833995235,"{""XLE"": 0.1624994530160337, ""XLK"": 0.16342242769259843, ""XLP"": 0.1873824776929284, ""XLU"": 0.14119887085356528, ""XLV"": 0.18627369379855657, ""XLY"": 0.15922307694631768}",-0.2176903758410248,-0.24102477114978682,-0.04260987753331613,-0.06513924063348331,-0.080444609441779,-0.0819530115057403,-0.2225255620619775,-0.2243698316142071,False,True,False
recovery_sector_barbell_M_cyc65_mom63_ma100_top2,Recovery-oriented sector barbell,recovery_sector_barbell,long_rule,"M defensive/cyclical barbell; 65% cyclical budget, 63d momentum, 100d trend, top 2.",ETF-only,2007-01-03,2021-12-31,14.988095238095237,0.12046940022996422,0.11664705375018336,0.13578616479965588,0.7493047244085906,-0.19569295247041552,0.05788144366479069,0.6156041835393973,-0.02108883322938932,-0.11625643237012351,0.33273766569125995,442,442,219,219,25.0,0.4,25,0,0.1380679693670306,6.832169038264204,0.09240059722192617,0.13956447337566336,0.027877538871676544,0.5185307743216413,0.038697830065360206,0.6243050039714059,"{""XLE"": 0.32080135582778446, ""XLP"": 0.1327934632633638, ""XLU"": 0.10006424987211589, ""XLV"": 0.13200769473710083, ""XLY"": 0.3143332362996351}",-0.1674453688235743,-0.19569295247041785,-0.036639573373225987,-0.05228531300850603,-0.08084990701722372,-0.09279067823720044,-0.1510682790668586,-0.15545606237320864,False,True,False
recovery_sector_barbell_M_cyc65_mom63_ma200_top2,Recovery-oriented sector barbell,recovery_sector_barbell,long_rule,"M defensive/cyclical barbell; 65% cyclical budget, 63d momentum, 200d trend, top 2.",ETF-only,2007-01-03,2021-12-31,14.988095238095237,0.11493346483887534,0.1112249252310773,0.14230208706937095,0.6876683831884959,-0.23103428398363157,0.06473033328074354,0.49747363403008277,-0.022148557093636338,-0.12775933371610593,0.3327376656912593,351,351,225,225,24.5,0.4230769230769231,26,0,0.15027969548905493,6.6613316476592646,0.0735270359683613,0.1433958039297054,-0.0120847504872853,0.5033090668431502,0.0274062463257827,0.613979348689436,"{""XLE"": 0.32080135582778446, ""XLP"": 0.1327934632633638, ""XLU"": 0.10006424987211589, ""XLV"": 0.13200769473710083, ""XLY"": 0.31433323629963505}",-0.17828198946597063,-0.20611989543472697,-0.03663957337322565,-0.05228531300850592,-0.08084990701722372,-0.09279067823720011,-0.22703916332552432,-0.23103428398363168,False,True,False
recovery_sector_barbell_M_cyc65_mom63_ma200_top3,Recovery-oriented sector barbell,recovery_sector_barbell,long_rule,"M defensive/cyclical barbell; 65% cyclical budget, 63d momentum, 200d trend, top 3.",ETF-only,2007-01-03,2021-12-31,14.988095238095237,0.11056201232490515,0.10751680529717955,0.13100022080632176,0.7045696486326968,-0.20544374688248912,0.05886827173301998,0.5381619737890831,-0.0205477978811668,-0.11784150076555122,0.3195539820372171,453,453,228,228,22.0,0.48148148148148145,27,0,0.1521389558671484,5.48999732693182,0.07131607779802018,0.13749741476331567,0.002496606918529709,0.4827928524156188,0.0333844523658231,0.5142970611596506,"{""XLE"": 0.21314909219506384, ""XLK"": 0.21435974989745865, ""XLP"": 0.13234734967525855, ""XLU"": 0.09972808858484697, ""XLV"": 0.13156422090255013, ""XLY"": 0.20885149874482192}",-0.1747682840287338,-0.1974182863111752,-0.032539995840630054,-0.0480896353897039,-0.07856049592260295,-0.08925800226646285,-0.20221841971094345,-0.20544374688248912,False,True,False
recovery_sector_barbell_M_cyc50_mom126_ma100_top3,Recovery-oriented sector barbell,recovery_sector_barbell,long_rule,"M defensive/cyclical barbell; 50% cyclical budget, 126d momentum, 100d trend, top 3.",ETF-only,2007-01-03,2021-12-31,14.988095238095237,0.10036634978353653,0.09828882450145437,0.1280158497404121,0.6485298658541314,-0.24185756381396362,0.06082045801723853,0.4149812319317751,-0.020036797621801303,-0.14533910501776526,0.3340459239827791,493,493,228,228,27.0,0.4,20,0,0.1618709752620334,3.7786413990038032,0.056055298452244884,0.13090787760386613,0.010381660412045024,0.40304434149569823,0.028781212312531057,0.5210484511517077,"{""XLE"": 0.16249945301603366, ""XLK"": 0.16342242769259843, ""XLP"": 0.18738247769292835, ""XLU"": 0.14119887085356525, ""XLV"": 0.18627369379855652, ""XLY"": 0.15922307694631768}",-0.22531162189502896,-0.2418575638139645,-0.1023956807373928,-0.15511016532867494,-0.08243022483716522,-0.08450739506656069,-0.1850436583589289,-0.18631746457714238,False,True,False
recovery_sector_barbell_W_cyc50_mom63_ma200_top3,Recovery-oriented sector barbell,recovery_sector_barbell,long_rule,"W defensive/cyclical barbell; 50% cyclical budget, 63d momentum, 200d trend, top 3.",ETF-only,2007-01-03,2021-12-31,14.988095238095237,0.09102654708861602,0.0856596976796935,0.1261698751617355,0.5905803249953282,-0.2412026179868363,0.06223005874598685,0.3773862317430726,-0.019699188015050387,-0.13819248051307864,0.3027846066283142,554,554,231,231,27.0,0.4,20,0,0.16203667234601843,9.860144721182696,0.04827229452582804,0.12046745695274086,-0.007184669237334629,0.3702845797485109,0.02244463783671291,0.4511517077045274,"{""XLB"": 0.16773967237418383, ""XLK"": 0.16333245345254938, ""XLP"": 0.18213978657525776, ""XLU"": 0.14545202117827824, ""XLV"": 0.17598252161665517, ""XLY"": 0.1653535448030756}",-0.231523921700455,-0.2412026179868355,-0.05335212185494442,-0.07746112634125057,-0.07740503195898629,-0.08087333567393884,-0.2234837101054813,-0.22545912984819727,False,True,False
recovery_sector_barbell_M_cyc50_mom63_ma100_top2,Recovery-oriented sector barbell,recovery_sector_barbell,long_rule,"M defensive/cyclical barbell; 50% cyclical budget, 63d momentum, 100d trend, top 2.",ETF-only,2007-01-03,2021-12-31,14.988095238095237,0.11762712980522605,0.11462238980434858,0.1315903849394827,0.7487724137058995,-0.2389545441730041,0.05607122570232309,0.4922573463179822,-0.020262805992021325,-0.13931762849023754,0.317737616641921,416,416,256,256,25.0,0.43478260869565216,23,0,0.13592725793297442,5.3827677768986,0.08443358299366888,0.14029849815457274,0.016708884344822206,0.5172071475843812,0.037629429099031775,0.6568705321683876,"{""XLE"": 0.24437506382512098, ""XLP"": 0.18786362700925713, ""XLU"": 0.1415614327164141, ""XLV"": 0.1867519960471162, ""XLY"": 0.23944788040209158}",-0.21221994484801932,-0.23895454417300177,-0.04574336524931644,-0.06819899092430393,-0.08218595661909656,-0.08539498652566946,-0.1830275730366373,-0.18567547985923027,False,True,False
recovery_sector_barbell_M_cyc50_mom63_ma200_top2,Recovery-oriented sector barbell,recovery_sector_barbell,long_rule,"M defensive/cyclical barbell; 50% cyclical budget, 63d momentum, 200d trend, top 2.",ETF-only,2007-01-03,2021-12-31,14.988095238095237,0.11331574959857993,0.11039549476299304,0.13770172118733642,0.6947599940465423,-0.2464881896946075,0.06304031473155493,0.45972080747144606,-0.02110930307231624,-0.14783758724434581,0.3177376166419206,557,557,257,257,23.0,0.47619047619047616,21,0,0.14534206785971612,5.251482219778803,0.0700031209568166,0.14313386147812968,-0.013841895804111659,0.5304434149569821,0.028421973997315497,0.630659253375695,"{""XLE"": 0.24437506382512098, ""XLP"": 0.18786362700925713, ""XLU"": 0.1415614327164141, ""XLV"": 0.18675199604711618, ""XLY"": 0.23944788040209156}",-0.22001823815502763,-0.24648818969460584,-0.04574336524931677,-0.06819899092430393,-0.08218595661909733,-0.08539498652567046,-0.24170506669847125,-0.24416279264020246,False,True,False
recovery_sector_barbell_M_cyc65_mom126_ma200_top2,Recovery-oriented sector barbell,recovery_sector_barbell,long_rule,"M defensive/cyclical barbell; 65% cyclical budget, 126d momentum, 200d trend, top 2.",ETF-only,2007-01-03,2021-12-31,14.988095238095237,0.09770860814699711,0.09456944734381967,0.1474303866019788,0.5671280456827972,-0.24516579069723599,0.0747165499190157,0.3985409541401352,-0.023068069561953588,-0.17096555008849146,0.3524598346049641,550,550,263,263,23.0,0.4,20,0,0.17058522364952217,5.725808200581246,0.056953015203003776,0.12572332411372122,-0.015854154171826007,0.45962938451356716,0.020277107686889506,0.5103256552819698,"{""XLK"": 0.3220366781130805, ""XLP"": 0.13255193933524878, ""XLU"": 0.09988225363450691, ""XLV"": 0.13176759995991225, ""XLY"": 0.3137615289572515}",-0.22903806685702432,-0.24516579069723665,-0.10324913205812414,-0.16728658278417974,-0.07137162423792998,-0.08457589710219537,-0.2270391633255242,-0.2310342839836318,False,True,False
recovery_sector_barbell_M_cyc50_mom63_ma100_top3,Recovery-oriented sector barbell,recovery_sector_barbell,long_rule,"M defensive/cyclical barbell; 50% cyclical budget, 63d momentum, 100d trend, top 3.",ETF-only,2007-01-03,2021-12-31,14.988095238095237,0.11287705145449212,0.11036169763770665,0.1266638346248422,0.7397996023767265,-0.22986214601468968,0.05453777113506472,0.49106411565164165,-0.019554258051977514,-0.1318165609380706,0.3076356527476456,533,533,268,268,24.0,0.42857142857142855,21,0,0.1392902668135617,4.524449023900777,0.084465042223699,0.13221351415068794,0.02092624071726501,0.4940436796823296,0.033155239374069057,0.5849880857823669,"{""XLE"": 0.1624994530160337, ""XLK"": 0.16342242769259843, ""XLP"": 0.18738247769292846, ""XLU"": 0.1411988708535653, ""XLV"": 0.18627369379855654, ""XLY"": 0.15922307694631768}",-0.21305441227837885,-0.22986214601469113,-0.042609877533315466,-0.06513924063348309,-0.08044460944177878,-0.08195301150574008,-0.18342974758620434,-0.18536675744826125,False,True,False
