strategy,family,independence_group,evidence,description,implementation_note,start,end,years,cagr,stress_cagr,annual_vol,excess_shy_sharpe,max_drawdown,ulcer_index,calmar,cvar_5pct_daily,worst_calendar_year,best_calendar_year,max_recovery_days,max_underwater_days,max_trough_to_recovery_days,max_5pct_trough_to_recovery_days,median_5pct_trough_to_recovery_days,share_5pct_recovered_within_20d,n_5pct_drawdowns,n_unrecovered_5pct_drawdowns,largest_year_abs_excess_share,annual_turnover,cagr_2007_2012,cagr_2013_2021,rolling_3y_min,rolling_3y_target_share,rolling_5y_min,rolling_5y_target_share,latest_weights,GFC_return,GFC_maxdd,2011_euro_US_downgrade_return,2011_euro_US_downgrade_maxdd,2018_Q4_return,2018_Q4_maxdd,COVID_crash_return,COVID_crash_maxdd,candidate,frequency,parameter,stress_meta_bps,original_gate_20bp,relaxed_gate_20bp
fast_typical_M_30,ETF ensemble post-selection robustness,fast_typical,post_selection_diagnostic,first sleeve 30%; second 70%,Post-selection sensitivity; not an independent candidate,2007-02-01,2021-12-31,14.90079365079365,0.11597666304599108,0.11553837234473008,0.1183153201305498,0.8112196441051116,-0.15625448225538174,0.051742615397630594,0.742229351580707,-0.018536248651522876,-0.08010564251665264,0.2771507239457185,474,474,246,246,25.0,0.4782608695652174,23,0,0.13268440978471205,0.26180424151870946,0.10295308047802698,0.12461813780774,0.03793221729420093,0.466,0.03463853968564923,0.5753205128205128,"{""cross_asset_mom_126_top3"": 0.3, ""recovery_sector_barbell_M_cyc65_mom63_ma100_top2"": 0.7}",-0.07956708092336662,-0.15430977748112273,-0.004594784541652963,-0.04743580964350769,-0.11727411279897948,-0.12033329864980546,-0.12645464477335155,-0.13054549957989714,fast_typical,M,first sleeve 30%; second 70%,20.0,True,False
fast_typical_Q_30,ETF ensemble post-selection robustness,fast_typical,post_selection_diagnostic,first sleeve 30%; second 70%,Post-selection sensitivity; not an independent candidate,2007-04-02,2021-12-31,14.738095238095237,0.11601620988954475,0.11565818650007675,0.11832538013822788,0.8166014040517322,-0.1567203820481563,0.052041635590085025,0.7402751854822294,-0.018509159061886805,-0.08066573857085757,0.2775170242296434,474,474,246,246,27.5,0.45454545454545453,22,0,0.13313068704389058,0.21382762343204098,0.10272832921877506,0.12459104711374613,0.03796351545986343,0.4653599188915174,0.03477908773171379,0.570264765784114,"{""cross_asset_mom_126_top3"": 0.3, ""recovery_sector_barbell_M_cyc65_mom63_ma100_top2"": 0.7}",-0.08059849364328253,-0.15512540639497097,-0.002920386429898225,-0.047308167892430086,-0.11667444053091736,-0.11971813008442045,-0.1260890587081327,-0.1301797238166832,fast_typical,Q,first sleeve 30%; second 70%,20.0,True,False
fast_typical_M_40,ETF ensemble post-selection robustness,fast_typical,post_selection_diagnostic,first sleeve 40%; second 60%,Post-selection sensitivity; not an independent candidate,2007-02-01,2021-12-31,14.90079365079365,0.1145974150845761,0.11412905855561428,0.11492553779015481,0.8236599463335292,-0.1564590226685143,0.0516501365284244,0.7324436336750658,-0.018072264612436384,-0.0798899861953607,0.27974552501083205,485,485,257,257,19.0,0.5238095238095238,21,0,0.1373202931301518,0.28011949616029713,0.10773046599984193,0.11913288201596961,0.03523670781080468,0.45966666666666667,0.03182083431780858,0.5428685897435898,"{""cross_asset_mom_126_top3"": 0.4, ""recovery_sector_barbell_M_cyc65_mom63_ma100_top2"": 0.6}",-0.049025336838699696,-0.14045496745423225,0.0062033750668379906,-0.04583051841238528,-0.12932043132393212,-0.13249685323651905,-0.11815244106155598,-0.12213850020559158,fast_typical,M,first sleeve 40%; second 60%,20.0,True,False
fast_typical_Q_40,ETF ensemble post-selection robustness,fast_typical,post_selection_diagnostic,first sleeve 40%; second 60%,Post-selection sensitivity; not an independent candidate,2007-04-02,2021-12-31,14.738095238095237,0.11438556990116222,0.11400922303303318,0.11488543365889212,0.8276229050906937,-0.15699205154407592,0.051970061856235754,0.7286073962097895,-0.01803888060882192,-0.0805309253588643,0.2801715169543826,485,485,257,257,19.0,0.5238095238095238,21,0,0.13803345672506473,0.22510682882676367,0.10703911670906519,0.11910554757883629,0.03527667918476407,0.459952686718486,0.0319106716631008,0.5389002036659878,"{""cross_asset_mom_126_top3"": 0.4, ""recovery_sector_barbell_M_cyc65_mom63_ma100_top2"": 0.6}",-0.05024054916913878,-0.1413979540091651,0.008111364891071338,-0.045685425698643645,-0.1286339025521075,-0.13179299902826513,-0.11773386275335262,-0.12171961379903096,fast_typical,Q,first sleeve 40%; second 60%,20.0,True,False
fast_typical_M_50,ETF ensemble post-selection robustness,fast_typical,post_selection_diagnostic,first sleeve 50%; second 50%,Post-selection sensitivity; not an independent candidate,2007-02-01,2021-12-31,14.90079365079365,0.11306610934092554,0.11258809617144627,0.11302173967606101,0.8269295705418559,-0.16222378591805264,0.05238637032758064,0.6969761474931974,-0.017757333936984105,-0.07978844353117442,0.28218503839548226,502,502,266,266,18.0,0.55,20,0,0.14221991395935163,0.28629382646650486,0.11231476523636763,0.11356009762590946,0.03103109918345459,0.45066666666666666,0.02849449598594811,0.5040064102564102,"{""cross_asset_mom_126_top3"": 0.5, ""recovery_sector_barbell_M_cyc65_mom63_ma100_top2"": 0.5}",-0.017856620454429928,-0.13163625653356648,0.01705989020727383,-0.04423067363092059,-0.14131880594822466,-0.1446078445449025,-0.10980102918335133,-0.11654979333113058,fast_typical,M,first sleeve 50%; second 50%,20.0,True,False
fast_typical_Q_50,ETF ensemble post-selection robustness,fast_typical,post_selection_diagnostic,first sleeve 50%; second 50%,Post-selection sensitivity; not an independent candidate,2007-04-02,2021-12-31,14.738095238095237,0.11258332084334444,0.11220114808308468,0.11290160246297452,0.8293744991862086,-0.16160435061044964,0.05273434700692201,0.6966602100628384,-0.017723854381384067,-0.08045690463127098,0.28263656154032923,502,502,266,266,21.0,0.5,20,0,0.14324816131354157,0.22896648847190143,0.11109497479459951,0.1135354349179234,0.030762699581210695,0.4484623183507942,0.028593173280106576,0.5018329938900203,"{""cross_asset_mom_126_top3"": 0.5, ""recovery_sector_barbell_M_cyc65_mom63_ma100_top2"": 0.5}",-0.019161238796378988,-0.13157547997980357,0.019041595411567025,-0.04408034272412198,-0.14060243204191303,-0.1438738247132504,-0.10936420994755258,-0.11729961808873512,fast_typical,Q,first sleeve 50%; second 50%,20.0,True,False
fast_typical_M_60,ETF ensemble post-selection robustness,fast_typical,post_selection_diagnostic,first sleeve 60%; second 40%,Post-selection sensitivity; not an independent candidate,2007-02-01,2021-12-31,14.90079365079365,0.11138283976443253,0.11091553307836732,0.11268076137357938,0.8196770016881565,-0.17416297753253684,0.05406273971962663,0.6395322435482832,-0.017604324965119347,-0.08218498137645225,0.2844676508914463,514,514,283,283,25.5,0.3888888888888889,18,0,0.14741526193607615,0.2803062936842965,0.11670301638213698,0.10790073215744322,0.026330139079204784,0.44133333333333336,0.025070756648075676,0.4791666666666667,"{""cross_asset_mom_126_top3"": 0.6, ""recovery_sector_barbell_M_cyc65_mom63_ma100_top2"": 0.4}",0.013940023316033612,-0.12873177279159476,0.027974805424431537,-0.04263618328743357,-0.15326899505817193,-0.15666607582805636,-0.10140017986879646,-0.11578706850543175,fast_typical,M,first sleeve 60%; second 40%,20.0,True,False
fast_typical_Q_60,ETF ensemble post-selection robustness,fast_typical,post_selection_diagnostic,first sleeve 60%; second 40%,Post-selection sensitivity; not an independent candidate,2007-04-02,2021-12-31,14.738095238095237,0.1106092004786785,0.11023368955875368,0.11245959025597317,0.8204764093882256,-0.173566424312528,0.05442580201714138,0.6372730262594616,-0.01756469964031952,-0.0817986547219004,0.28490869153327725,514,514,283,283,25.5,0.3888888888888889,18,0,0.14881676646728462,0.2253774996766776,0.11489249717000427,0.10788074628886535,0.02607793048964302,0.4362960459614735,0.025170421831543166,0.47535641547861507,"{""cross_asset_mom_126_top3"": 0.6, ""recovery_sector_barbell_M_cyc65_mom63_ma100_top2"": 0.4}",0.01264959529344023,-0.12870679262468254,0.02987174400156145,-0.04249263226861766,-0.15258008478477647,-0.15596061154830743,-0.10098006273658522,-0.11650816225639637,fast_typical,Q,first sleeve 60%; second 40%,20.0,True,False
fast_typical_M_70,ETF ensemble post-selection robustness,fast_typical,post_selection_diagnostic,first sleeve 70%; second 30%,Post-selection sensitivity; not an independent candidate,2007-02-01,2021-12-31,14.90079365079365,0.10954771212844161,0.10911142031484622,0.11391869987315195,0.8016927821078871,-0.1860609118103277,0.05777575471598131,0.5887733810533812,-0.01763845055523421,-0.09193353091975254,0.2865917700600682,623,623,395,395,28.0,0.3333333333333333,15,0,0.1529433991506539,0.2621313041960679,0.12089225978245932,0.10215573763234542,0.02153575532206231,0.423,0.021550165395305854,0.4551282051282051,"{""cross_asset_mom_126_top3"": 0.7, ""recovery_sector_barbell_M_cyc65_mom63_ma100_top2"": 0.30000000000000004}",0.046365183264265974,-0.13773905903994155,0.03894816540949986,-0.04104695734986419,-0.16517075684418225,-0.16867135013782053,-0.09294966246398928,-0.11554918348919019,fast_typical,M,first sleeve 70%; second 30%,20.0,True,False
fast_typical_Q_70,ETF ensemble post-selection robustness,fast_typical,post_selection_diagnostic,first sleeve 70%; second 30%,Post-selection sensitivity; not an independent candidate,2007-04-02,2021-12-31,14.738095238095237,0.1084628605460678,0.10810649193379107,0.11358858179779638,0.8006637104684687,-0.18553727538071874,0.05814473853140609,0.5845879773943226,-0.01758625348150431,-0.09159403192804283,0.2869844071768366,623,623,395,395,28.0,0.3333333333333333,15,0,0.154788810642315,0.21430186546134203,0.11842809715312663,0.10214150732538751,0.021319877869084847,0.41838458938830686,0.021593609611880282,0.45010183299389,"{""cross_asset_mom_126_top3"": 0.7, ""recovery_sector_barbell_M_cyc65_mom63_ma100_top2"": 0.30000000000000004}",0.04520213131243023,-0.13771735059846923,0.04060322248571757,-0.04092201380464611,-0.16456691694176118,-0.16805336394672066,-0.09258138343611622,-0.11620672917688879,fast_typical,Q,first sleeve 70%; second 30%,20.0,True,False
