strategy,draws,cagr_p05,cagr_median,prob_cagr_ge_8,prob_cagr_ge_10,maxdd_p05
SPY_60_TLT_40,2000,0.058558916598766234,0.10179019676811496,0.8045,0.5265,-0.2967519091433633
QQQ_60_IEF_40,2000,0.07202617091597688,0.12751044221213959,0.9295,0.811,-0.3424470034578288
SPY_trend_150d,2000,0.03497539387910694,0.08757754924785077,0.6015,0.3505,-0.34845161097208943
QQQ_vol_target_12,2000,0.06603625214553518,0.11147290420120737,0.865,0.6455,-0.281787736333109
SPY_drawdown_medium,2000,0.03659914353130961,0.08371672498074867,0.5535,0.262,-0.2968663269135811
all_weather_inverse_vol_63,2000,0.03482896205131073,0.06244650907428817,0.1535,0.0165,-0.173472417208065
all_weather_sleeve_trend_200,2000,0.0451615054111982,0.06972664365899273,0.252,0.016,-0.13132591695083326
GTAA_trend_100,2000,0.023051036814794056,0.04780893246233986,0.027,0.001,-0.1580363648740778
cross_asset_mom_126_top3,2000,0.0521335774304146,0.09912431158243429,0.7475,0.4865,-0.3064272662707546
GEM_SPY_VEU_AGG,2000,0.003379966622020248,0.06552885481021453,0.349,0.176,-0.4719031700714895
credit_canary_equity_allocation,2000,0.07604768710856949,0.11671938398093917,0.93,0.7635,-0.2122254170407526
sector_downside_trend,2000,0.047558906389482805,0.0949669267112273,0.7015,0.4305,-0.29645117746995203
sector_defensive_upside_barbell,2000,0.05984489918397064,0.10719626627119327,0.8315,0.6,-0.26063933581137255
sector_low_ulcer_positive_trend,2000,0.05401837549299976,0.09841871803345925,0.7465,0.477,-0.2652224013876747
SPY_95_105_collar,2000,0.030444084196507692,0.07403369818151084,0.404,0.1555,-0.31029305207699925
ETF_USMV,2000,0.09398439390005923,0.1389079227833303,0.9815,0.921,-0.22871186141080319
ETF_QAI,2000,0.011930279675287458,0.02872878840470816,0.0,0.0,-0.12773431453194595
ETF_PHDG,2000,0.014323573010232737,0.06220922707885468,0.2755,0.0925,-0.23479867258469891
ETF_NTSX,2000,0.11379305859461428,0.21573579148594946,0.988,0.9705,-0.20515619107480698
