strategy,event,event_return,event_maxdd
SPY_60_TLT_40,GFC,-0.29912303001524077,-0.3049769144692187
SPY_60_TLT_40,2011_euro_US_downgrade,0.018592788966694362,-0.05715297897278371
SPY_60_TLT_40,2018_Q4,-0.09499291230251528,-0.09632642551871162
SPY_60_TLT_40,COVID_crash,-0.14049371451984183,-0.17619188312623935
QQQ_60_IEF_40,GFC,-0.2859756934481098,-0.30549152785089106
QQQ_60_IEF_40,2011_euro_US_downgrade,-0.039626064189578813,-0.07365943169860711
QQQ_60_IEF_40,2018_Q4,-0.12234796825300043,-0.12259412449405127
QQQ_60_IEF_40,COVID_crash,-0.14245550796039874,-0.15251190224078937
SPY_trend_150d,GFC,-0.10410155361339213,-0.1543168855412116
SPY_trend_150d,2011_euro_US_downgrade,-0.04054551517342464,-0.0440534260511678
SPY_trend_150d,2018_Q4,-0.10160750871906588,-0.11083495071799954
SPY_trend_150d,COVID_crash,-0.0720702783824031,-0.12437189310971453
QQQ_vol_target_12,GFC,-0.19966997918808949,-0.21718698362133415
QQQ_vol_target_12,2011_euro_US_downgrade,-0.07968463251782465,-0.10729509036966944
QQQ_vol_target_12,2018_Q4,-0.14151026868493433,-0.14296783609101205
QQQ_vol_target_12,COVID_crash,-0.18314564680924272,-0.19408568626889022
SPY_drawdown_medium,GFC,-0.26556139291862124,-0.27241367279143247
SPY_drawdown_medium,2011_euro_US_downgrade,-0.09438571896652392,-0.09486965187058505
SPY_drawdown_medium,2018_Q4,-0.14094570184687505,-0.14391995583995487
SPY_drawdown_medium,COVID_crash,-0.19653866350368043,-0.20036183266616037
all_weather_inverse_vol_63,GFC,0.07716383470586852,-0.11156301269255231
all_weather_inverse_vol_63,2011_euro_US_downgrade,0.03457209679102635,-0.04318617068532615
all_weather_inverse_vol_63,2018_Q4,-0.012173350473868916,-0.03103271009556341
all_weather_inverse_vol_63,COVID_crash,-0.057320301313227295,-0.10876127077411046
all_weather_sleeve_trend_200,GFC,0.15744814136576757,-0.07514477544644194
all_weather_sleeve_trend_200,2011_euro_US_downgrade,0.09082033178978621,-0.031226577923779253
all_weather_sleeve_trend_200,2018_Q4,-0.062475896056447766,-0.062475896056447766
all_weather_sleeve_trend_200,COVID_crash,0.0414233181064787,-0.08334167860890951
GTAA_trend_100,GFC,-0.0041232054712365684,-0.10669960520135102
GTAA_trend_100,2011_euro_US_downgrade,0.011022616804932328,-0.029690623514727732
GTAA_trend_100,2018_Q4,-0.03265606680672384,-0.03533937660668973
GTAA_trend_100,COVID_crash,-0.0019429474757701737,-0.044838696598461625
cross_asset_mom_126_top3,GFC,0.1474120031835875,-0.16433710167914684
cross_asset_mom_126_top3,2011_euro_US_downgrade,0.07221936302906151,-0.04740951260643911
cross_asset_mom_126_top3,2018_Q4,-0.2005830572251659,-0.20436745872033668
cross_asset_mom_126_top3,COVID_crash,-0.06729777418975202,-0.12062234282090833
GEM_SPY_VEU_AGG,GFC,,
GEM_SPY_VEU_AGG,2011_euro_US_downgrade,-0.17147224361651858,-0.17312952366465018
GEM_SPY_VEU_AGG,2018_Q4,-0.189224897430755,-0.19203199715831665
GEM_SPY_VEU_AGG,COVID_crash,-0.3340034681964832,-0.337172528469891
credit_canary_equity_allocation,GFC,,
credit_canary_equity_allocation,2011_euro_US_downgrade,0.010416031606893084,-0.03934418009199503
credit_canary_equity_allocation,2018_Q4,-0.10283842200197602,-0.1277377643547024
credit_canary_equity_allocation,COVID_crash,-0.03426146966503629,-0.07203336005984595
sector_downside_trend,GFC,-0.13746347272925674,-0.18786652899181755
sector_downside_trend,2011_euro_US_downgrade,-0.10302589792399497,-0.14732798845372364
sector_downside_trend,2018_Q4,-0.10373408148053265,-0.10743906823853144
sector_downside_trend,COVID_crash,-0.12688965448075373,-0.12787009284800877
sector_defensive_upside_barbell,GFC,-0.23057817905290234,-0.25352816250538623
sector_defensive_upside_barbell,2011_euro_US_downgrade,-0.10190353210970793,-0.16021602498557452
sector_defensive_upside_barbell,2018_Q4,-0.08148964309009832,-0.08450739506656024
sector_defensive_upside_barbell,COVID_crash,-0.22406220188836967,-0.2252750207127392
sector_low_ulcer_positive_trend,GFC,-0.12089913959700582,-0.159621184008506
sector_low_ulcer_positive_trend,2011_euro_US_downgrade,-0.08263287493782712,-0.1338822440890327
sector_low_ulcer_positive_trend,2018_Q4,-0.12812752606292666,-0.13107714771650358
sector_low_ulcer_positive_trend,COVID_crash,-0.12275416469117306,-0.12380469679731743
SPY_95_105_collar,GFC,-0.2353277081727354,-0.24036707652455191
SPY_95_105_collar,2011_euro_US_downgrade,-0.11154638382208992,-0.11204357183084124
SPY_95_105_collar,2018_Q4,-0.05361686797708354,-0.055647339852558875
SPY_95_105_collar,COVID_crash,-0.10900759714400521,-0.11309081766456286
ETF_USMV,GFC,,
ETF_USMV,2011_euro_US_downgrade,,
ETF_USMV,2018_Q4,-0.12266219447951554,-0.1228158914225872
ETF_USMV,COVID_crash,-0.33050841035316714,-0.33050841035316714
ETF_QAI,GFC,,
ETF_QAI,2011_euro_US_downgrade,-0.0338495722512564,-0.03662474031530061
ETF_QAI,2018_Q4,-0.049804784674816305,-0.049804784674816305
ETF_QAI,COVID_crash,-0.138565850787014,-0.13967742579412534
ETF_PHDG,GFC,,
ETF_PHDG,2011_euro_US_downgrade,,
ETF_PHDG,2018_Q4,-0.10726698773585763,-0.11975845508329064
ETF_PHDG,COVID_crash,0.005805727254468485,-0.13915914539085616
ETF_NTSX,GFC,,
ETF_NTSX,2011_euro_US_downgrade,,
ETF_NTSX,2018_Q4,-0.15898651706435962,-0.16289078482900365
ETF_NTSX,COVID_crash,-0.28076306908760984,-0.2832700103948578
